t_new x1_new x2_new F_new d t_grad x1_grad x2_grad F_grad 
37.3919959428 1.6642994340 -1.2199898949 4.9975515535 99.2141639170 38.2868231595 4.6011422878 -3.2805330503 4.9091547161 
37.6585343614 0.6184951892 -0.9503471986 4.9992599434 99.6918340431 38.5522586015 4.3024568737 -3.3306089309 4.9183102030 
37.9426229487 0.6767329491 -1.1278943881 4.9993957072 98.9892234380 38.7940782970 4.0774907507 -3.8737497022 4.9113530666 
38.2178079315 1.6109459039 -0.6568294317 4.9975448953 99.4013020359 39.0361276243 4.3891397849 -2.8172649814 4.9260563975 
38.4905613138 0.6747340848 -1.2892833856 4.9990525860 99.3958203709 39.2720430263 4.2582126961 -4.1286510081 4.8979779645 
38.7501236689 1.0239294398 -1.0680958203 4.9999739517 99.3555916213 39.5147113193 4.1359330432 -2.8277799499 4.9341257220 
39.0585874099 1.1523751429 -0.3232504169 4.9975939591 99.4874820770 39.7931416271 4.2209002250 -3.4480914377 4.9181632503 
39.3225601229 0.9979563592 -1.4889106345 4.9988048111 99.5548124926 40.0804912651 4.7313950780 -3.8454298551 4.8899010986 
39.5941200657 1.0853595520 -1.0964544771 4.9999170514 99.4747255547 40.4038421982 4.0701761159 -3.2698428574 4.9271091601 
39.8866815985 0.6008497995 -0.4450604247 4.9976636059 99.8035681856 40.6879628277 3.6860259777 -3.3350089030 4.9366649894 
40.1480051260 1.4229615727 -1.3859223366 4.9983608373 99.2568353566 40.9722397621 4.8373560879 -3.3196580955 4.8994694229 
40.4478150002 1.2737360473 -1.0684185708 4.9996019374 99.2063073484 41.2362086084 3.9438319734 -3.4393508159 4.9269171045 
40.7384270723 0.3136657922 -0.9298389599 4.9976201139 99.4895672205 41.5409786234 3.7375933987 -3.7927609881 4.9235303422 
40.9964680745 1.4982806604 -0.9598095145 4.9987505055 99.4056132530 41.8189664404 4.5497484336 -2.8969351421 4.9190046156 
41.2759298708 1.1464292569 -0.8885187268 4.9998306520 99.2110408776 42.0913065244 4.1129349374 -3.4541449782 4.9214340425 
41.5720346591 0.4870253446 -1.4697336913 4.9975810363 99.5212632819 42.2874442639 4.2513380265 -3.2009043196 4.9229241061 
41.8453752794 1.2550182986 -0.6821000635 4.9991695265 99.7053661073 42.5307289935 4.1196434056 -3.2493208361 4.9260419040 
42.1452515054 1.0951200246 -0.5442895946 4.9989164010 99.4866172874 42.7745553327 4.3767871019 -3.7983136615 4.9038337476 
42.3857529508 1.0046360481 -1.6595955456 4.9978245611 99.9122391893 43.0731520438 3.8131031057 -2.8695066438 4.9429569791 
42.6786953634 0.9227753684 -0.5702272633 4.9990466588 99.6381079466 43.3737965550 3.9794832827 -3.2862107033 4.9294795999 
42.9627302391 0.8177520857 -0.7820297171 4.9995963733 98.8666229341 43.6801560012 4.8211316915 -3.5772874077 4.8937827111 
43.2267595328 1.4978864882 -1.4500317251 4.9977479025 99.5977798308 43.9720979024 4.0389268324 -3.3138977037 4.9270540056 
43.5342292466 0.7627852579 -0.8409457974 4.9995921546 99.6455271943 44.3014786206 3.4676177855 -3.5772678961 4.9363427633 
43.8309031814 0.4637250277 -0.9512815754 4.9985501783 99.2964072210 44.5594305918 4.5602327559 -3.1252211160 4.9140408897 
44.0998816372 1.6825999280 -0.9345159038 4.9976488459 98.9204672390 44.8794866016 4.4552853202 -2.9171655517 4.9219273980 
44.3624573932 0.6432058651 -1.1064753057 4.9993068048 99.5355869284 45.1590491147 3.8676167475 -3.9617494343 4.9150240724 
44.6539582409 0.6915017120 -1.3008347335 4.9990716363 98.9966293150 45.4495095159 4.1858840900 -3.3599659966 4.9214035153 
44.9293807663 1.4147568790 -0.4427177080 4.9975870659 99.1714837769 45.6749884406 4.0709403623 -3.2023028758 4.9285959367 
45.2214688586 0.9053448057 -1.1555030531 4.9998342960 99.7279670029 45.7878685123 4.0045831877 -2.7515178545 4.9395233254 
45.4833432980 1.0198750780 -1.3655890365 4.9993297482 99.0634928826 46.0005265334 4.3918777014 -3.9542230231 4.8988386599 
45.7812408174 0.8684987421 -0.3549637611 4.9978331783 98.9283918154 46.2433529674 3.8978001299 -3.0301770216 4.9374056783 
46.0420335132 1.1279272000 -1.3225885725 4.9993978562 99.5497480092 46.4842720189 4.2173040912 -3.5036349967 4.9169038309 
46.3276065762 1.3226113811 -1.2751512041 4.9991010686 99.1128086601 46.7071999054 4.1862432552 -3.3619068685 4.9213462493 
46.6267654823 0.4560509537 -0.6849195364 4.9980242187 98.9493409545 46.9252042777 4.0428092397 -3.4250045741 4.9243033237 
46.9117713650 1.0189308702 -1.0552814423 4.9999829279 99.4534604413 47.0467227149 3.5474483625 -3.3390362952 4.9401970802 
47.1817205761 1.5459650013 -0.9445669211 4.9984942470 99.4859094141 47.2384123878 4.8526923033 -3.3352045471 4.8985179087 
47.4543150577 0.3666277229 -1.2116238009 4.9977702746 98.9655910918 47.5233093126 3.9385732145 -3.4470412773 4.9268838823 
47.7320984903 1.1974375571 -0.9271833424 4.9997785807 99.7267139915 47.7634544190 4.0793096661 -3.5121565934 4.9210346062 
48.0133034644 1.2959841526 -0.5967802076 4.9987490359 99.2785638389 48.0580359068 4.5427665221 -2.8539830637 4.9200577608 
48.2998289624 0.7408312590 -1.5966037111 4.9978844779 99.1510141816 48.3295387240 3.9336932880 -3.8522508979 4.9162905425 
48.5849143696 1.0572271769 -0.9656741264 4.9999777339 99.7519006508 48.6049633339 4.1775427658 -3.5457118077 4.9171128668 
48.8900687230 0.8644399436 -0.3357495797 4.9977019743 99.7462662645 48.8623063917 4.0243316981 -2.8342308556 4.9374450747 
49.1442319605 1.2545884093 -1.5718257686 4.9980410002 98.9690883801 49.1273926411 4.4185223316 -3.9966943724 4.8966676395 
49.4320831379 1.0746156067 -1.0124494364 4.9999713876 99.4201198744 49.3930123984 3.9372688198 -3.0615255080 4.9356128223 
49.7287886354 0.4093807299 -0.6594044489 4.9976758177 99.6697817147 49.7185562486 3.5547917101 -3.0204391611 4.9469543246 
50.0000000000 1.4895718708 -1.1692908673 4.9986582999 99.3403714230 50.0000000000 4.6263961548 -3.5214406403 4.9024579401 
